Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
Chappell Roan - Pink Pony Club,78,,24,,26198597,980834948
benny blanco - Eastside,95,11.0,4,,24227312,979529313
Morgan Wallen - Last Night,77,,14,,22261083,968759596
Jimin - Like Crazy,69,,15,,23325668,968471235
Major Lazer - Lean On,125,33.0,1,(x10),18924031,964057022
Post Malone - Wow.,84,14.0,2,(x1),31165644,962552357
Twenty One Pilots - Stressed Out,137,12.0,6,,18271666,956326479
Charlie Puth - Attention,87,13.0,5,,22888447,954868551
Ava Max - Sweet but Psycho,98,7.0,6,,22400542,951420265
Eminem - Lose Yourself,237,,44,,10904034,948912403
Miguel - Sure Thing,91,,14,,21796337,946910321
Eminem - The Real Slim Shady,128,,51,,12550236,944548132
The MarÃ­as - No One Noticed,76,,37,,15682345,940436104
The Chainsmokers - Don't Let Me Down,93,22.0,3,(x2),20867984,937382310
Arctic Monkeys - Why'd You Only Call Me When You're High?,124,,95,,10312381,930370614
Cardi B - I Like It,76,14.0,2,(x1),27369377,926934200
JVKE - golden hour,70,,14,,21078730,925466265
Jin - Donât Say You Love Me,44,14.0,2,(x2),37534471,923701895
Rauw Alejandro - QuÃ© PasarÃ­a...,67,,17,,26424617,919502363
Ariana Grande - positions,79,13.0,1,(x2),41862937,918652702
Joji - Glimpse of Us,54,10.0,1,(x1),57470492,912030588
Post Malone - Psycho,80,14.0,2,(x6),45142484,911952857
Kate Bush - Running Up That Hill (A Deal With God),47,14.0,1,(x3),57221016,911070181
Coldplay - The Scientist,138,,71,,12399580,908325993
Rauw Alejandro - Todo De Ti,62,10.0,2,(x4),47564794,904188121
Dean Lewis - Be Alright,123,,12,,17708246,904001655
Grupo Frontera - un x100to,46,12.0,1,(x2),56685409,902327561
Sabrina Carpenter - Manchild,47,8.0,1,(x1),39775000,899995834
Coldplay - A Sky Full of Stars,171,12.0,6,,12455072,897506961
DJ Snake - Taki Taki,62,18.0,1,(x4),40931264,896064520
Chris Brown - Under The Influence,61,7.0,6,,26896173,892423448
Mike Posner - I Took A Pill In Ibiza - Seeb Remix,99,22.0,2,(x3),23018299,891175647
Zach Bryan - I Remember Everything,65,,20,,18293011,882273189
Tyla - Water,62,,12,,24826187,881950822
Yng Lvcas - La Bebe - Remix,44,17.0,3,(x7),40885774,881599446
sombr - undressed,57,7.0,6,,25195406,880539729
Billie Eilish - CHIHIRO,60,2.0,5,,56145760,880188212
Bad Bunny - PERRO NEGRO,54,6.0,4,,37721190,874148443
Coldplay - My Universe,72,6.0,3,(x1),32790116,872919779
Bad Bunny - VOY A LLeVARTE PA PR,60,4.0,8,,41507893,872590571
Zach Bryan - Something in the Orange,95,,57,,10534114,870977788
Ed Sheeran - Beautiful People,71,16.0,3,(x3),36721702,868100792
Nirvana - Smells Like Teen Spirit - Remastered,109,,103,,10352266,864369586
Charlie Puth - We Don't Talk Anymore,124,1.0,9,,18248508,864242777
Danny Ocean - Me RehÃºso,94,,20,,13515074,864122017
Internet Money - Lemonade,65,13.0,2,(x2),30094068,854723643
KAROL G - TQG,44,12.0,1,(x1),57131424,852277014
Drake - In My Feelings,52,15.0,1,(x8),67499798,850630308
Cardi B - WAP,55,15.0,1,(x5),45977242,848831566
TV Girl - Lovers Rock,92,,100,,10651800,845280849
Regard - Ride It,98,,12,,17371573,845193360
Taylor Swift - cardigan,77,2.0,1,(x1),35783009,842468789
Myke Towers - LALA,40,13.0,1,(x1),41556972,840906017
Taylor Swift - august,81,,11,,21018440,840525678
Coolio - Gangsta's Paradise,112,,40,,12250358,835958075
Natasha Bedingfield - Unwritten,70,,16,,22288159,835541677
Billie Eilish - Happier Than Ever,70,4.0,6,,33200672,834352850
Billie Eilish - everything i wanted,76,5.0,2,(x1),40323676,833351012
KAROL G - PROVENZA,59,4.0,6,,26685343,833130132
Myles Smith - Stargazing,58,,16,,27908328,830939227
The Weeknd - Popular,57,,12,,26312521,830892318
Sia - Snowman,47,3.0,8,,53021049,830228689
The Weeknd - Stargirl Interlude,99,,42,,11079510,829950989
Panic! At The Disco - High Hopes,99,1.0,9,,19643546,822525134
Doja Cat - Need To Know,60,3.0,6,,29990272,818770638
Kelly Clarkson - Underneath the Tree,46,4.0,7,,54935095,818684769
Dean Martin - Let It Snow! Let It Snow! Let It Snow!,46,6.0,6,,59385669,818162586
Drake - Jimmy Cooks,81,1.0,7,,31710710,818017175
Lil Mosey - Blueberry Faygo,68,5.0,8,,25687351,816131839
Major Lazer - Cold Water,60,17.0,1,(x5),39612302,815313617
Justin Bieber - What Do You Mean?,79,24.0,1,(x8),29264063,810562117
Lost Frequencies - Where Are You Now,75,,18,,14503805,809116251
a-ha - Take on Me,84,,56,,14327381,808537545
Bruno Mars - Leave The Door Open,63,11.0,5,,26025274,807466173
Stephen Sanchez - Until I Found You,64,1.0,10,,21822777,804541052
Taylor Swift - Lover,73,1.0,2,(x1),29990567,804414304
Luis Fonsi - Despacito (Featuring Daddy Yankee),62,15.0,4,,27082220,802424995
Dua Lipa - Dance The Night (From Barbie The Album),48,9.0,5,,33252200,800461212
V - Love Me Again,70,,11,,22489337,799490248
Feid - Classy 101,54,3.0,8,,27370842,799428245
Tate McRae - you broke me first,83,,12,,18627585,791460924
Bad Bunny - Moscow Mule,45,13.0,2,(x2),51387060,786790229
BTS - Butter,63,7.0,2,(x1),58122349,784885473
Gunna - fukumean,52,6.0,9,,25894699,784743419
Lil Tecca - Ransom,72,10.0,3,(x2),27574962,781462920
Taylor Swift - Donât Blame Me,86,,71,,11362647,781096195
Sam Smith - Too Good At Goodbyes,109,6.0,3,(x2),28527847,780246421
Masked Wolf - Astronaut In The Ocean,55,13.0,3,(x3),30035792,778977393
KATSEYE - Gabriela,45,2.0,10,,22453505,778871022
GAYLE - abcdefu,44,20.0,1,(x3),34440025,778710435
Maluma - HawÃ¡i,60,12.0,2,(x2),41071843,777609130
KAROL G - AMARGURA,75,,53,,12695923,777080014
Joel Corry - Head & Heart,71,,11,,20052875,775241250
Steve Lacy - Bad Habit,50,3.0,10,,22880789,774633569
Imagine Dragons - Enemy,61,13.0,3,(x4),26745557,774575795
Bad Bunny - Callaita,71,8.0,7,,22380052,773877306
Maroon 5 - Payphone,101,,70,,10824849,773438210
Bad Bunny - VeLDÃ,58,2.0,9,,38648441,772065432
Sia - Cheap Thrills,83,18.0,3,(x1),22704478,771328890
Gorillaz - Feel Good Inc,71,,46,,14566236,767913314
Eminem - Godzilla,87,3.0,4,,40637125,766797511
Ozuna - Hey Mor,51,,14,,20388083,766223621
Dua Lipa - IDGAF,78,12.0,4,,23715748,765728252
TiÃ«sto - The Business,72,2.0,9,,19493924,765387748
JENNIE - like JENNIE,55,9.0,6,,28893921,765311079
JosÃ© Feliciano - Feliz Navidad,50,3.0,8,,49201649,765010912
Jung Kook - Standing Next to You,53,4.0,1,(x1),39202729,764810856
The Weeknd - Call Out My Name,83,4.0,1,(x1),40628023,764808848
Jawsh 685 - Savage Love (Laxed - Sired Beat),55,15.0,1,(x2),34310255,763557902
Adele - Set Fire to the Rain,88,,61,,11540759,762714845
Daddy Yankee - Con Calma,55,15.0,2,(x3),31111446,759270487
Taylor Swift - Fortnight,34,4.0,1,(x2),102878399,757105267
Jonas Brothers - Sucker,70,11.0,2,(x2),34629196,756754337
Post Malone - I Fall Apart,87,1.0,10,,17129238,750917723
Justin Bieber - Mistletoe,61,,15,,42669579,750247513
blackbear - hot girl bummer,84,3.0,9,,20814917,749077366
Shawn Mendes - There's Nothing Holdin' Me Back,82,5.0,5,,22413521,747587032
Pitbull - Give Me Everything,77,,72,,12450888,747580903
Olivia Dean - So Easy (To Fall In Love),31,15.0,6,,29678009,745228526
Tate McRae - Sports car,57,,16,,23037365,744131514
SZA - Saturn,53,,17,,25025400,743959619
RAYE - WHERE IS MY HUSBAND!,32,10.0,6,,29143826,741312446
Zedd - The Middle,82,7.0,6,,22125746,741276314
Topic - Breaking Me,71,5.0,8,,20464143,737669655
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53",31,11.0,2,(x3),80646962,737502479
"Gracie Abrams - I Love You, I'm Sorry",56,,16,,21365195,736390817
Rosa Linn - SNAP,58,,16,,18664457,731846561
Future - Life Is Good,70,5.0,3,(x1),39404104,730795312
Oasis - Wonderwall - Remastered,133,,63,,13393178,729661612
Shawn Mendes - Treat You Better,83,13.0,5,,20386073,726923957
Don Toliver - No Pole,71,,72,,13594444,724661773
Justin Bieber - DAISIES,42,9.0,2,(x1),39914924,724092675
ROSALÃA - DESPECHÃ,44,8.0,5,,30330456,721187001
DJ Khaled - I'm the One,51,16.0,2,(x7),40519723,720238325
Calvin Harris - This Is What You Came For,65,18.0,2,(x11),26378633,719415932
The Kid LAROI - NIGHTS LIKE THIS,63,,41,,16263546,718761466
Michael BublÃ© - Holly Jolly Christmas,55,,12,,44689611,715851728
Lil Nas X - THATS WHAT I WANT,55,3.0,3,(x1),32546474,714973753
Marshmello - FRIENDS,67,13.0,4,,25664581,714909410
Benson Boone - Slow It Down,54,,27,,19967768,713680241
Creedence Clearwater Revival - Have You Ever Seen The Rain,74,,75,,12541636,713607792
Journey - Don't Stop Believin' (2022 Remaster),71,,89,,12141654,712121107
"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",78,14.0,3,(x6),24236034,707632576
TOTO - Africa,110,,95,,10243724,707391224
J Balvin - Mi Gente,57,15.0,1,(x4),32361062,706648562
Alan Walker - Faded,91,15.0,7,,17656352,705007917
Stephen Sanchez - Until I Found You,60,,20,,17126410,703398307
Anuel AA - China,53,12.0,2,(x4),33436706,703150756
Sam Smith - Dancing With A Stranger,76,10.0,7,,23144963,702710293
Fifth Harmony - Work from Home,74,20.0,2,(x3),22851136,698301324
Calle 24 - Que Onda,47,,16,,20983757,695300537
Lukas Graham - 7 Years,86,14.0,2,(x1),21578772,691799286
Tyga - Taste,67,4.0,6,,24591233,690276332
Bebe Rexha - Meant to Be,87,,18,,14838238,688386937
Bad Bunny - MIA,51,14.0,1,(x1),39639615,688289134
Taylor Swift - Opalite,30,8.0,2,(x2),93572415,688231143
Pedro CapÃ³ - Calma - Remix,61,9.0,5,,23772814,687647813
Justin Bieber - Intentions,54,9.0,5,,35379447,686857521
Ariana Grande - no tears left to cry,61,8.0,2,(x1),38925971,685597568
Dasha - Austin,42,,20,,21724289,682387660
ZAYN - I Donât Wanna Live Forever (Fifty Shades Darker),68,14.0,2,(x2),30694422,682354310
FIFTY FIFTY - Cupid - Twin Ver.,38,12.0,4,,36319569,682233804
Disco Lines - No Broke Boys,44,,13,,20782849,682131704
Marshmello - Silence,71,8.0,8,,20339368,681892436
Doja Cat - Say So,60,8.0,6,,25776622,678877812
Drake - Toosie Slide,46,14.0,2,(x4),45292273,677398639
Dynoro - In My Mind,66,10.0,6,,22288306,676704919
Adele - Hello,74,15.0,1,(x3),44785665,674927785
Dua Lipa - Break My Heart,65,2.0,7,,25320233,674770728
Clean Bandit - Rockabye,65,14.0,3,(x3),22798862,674373152
Juice WRLD - Robbery,95,,18,,16634927,673474919
Jack Harlow - Lovin On Me,32,10.0,3,(x2),34044101,673465561
Kenya Grace - Strangers,33,7.0,4,,31732751,673225048
Xavi - La Diabla,30,10.0,1,(x4),39499314,671614641
Kygo - It Ain't Me,55,14.0,2,(x2),31981993,668193646
PinkPantheress - Boy's a liar Pt. 2,35,10.0,3,(x1),39475419,666819252
Elley DuhÃ© - MIDDLE OF THE NIGHT,59,,11,,17828258,663695650
Kendrick Lamar - Money Trees,74,,47,,16773087,663254945
The Weeknd - Save Your Tears,47,2.0,5,,27611013,661883213
Pop Smoke - For The Night,59,4.0,7,,22837971,659826820
Saja Boys - Soda Pop,33,14.0,4,,30417523,655277986
Post Malone - Goodbyes (Feat. Young Thug),47,13.0,2,(x1),37067320,654675084
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),52,3.0,7,,30313629,652871153
Rihanna - Work,60,15.0,1,(x9),33662868,652396816
